Toy Story	1	5	978824268
Toy Story	6	4	978237008
Toy Story	8	4	978233496
Toy Story	9	5	978225952
Toy Story	10	5	978226474
Jumanji	10	5	979168267
Jumanji	13	3	978202563
Toy Story	18	4	978154768
Jumanji	18	2	978152541
Toy Story	19	5	978555994
Toy Story	21	3	978139347
Toy Story	23	4	978463614
Jumanji	23	2	978461604
Toy Story	26	3	978130703
Grumpier old man	26	2	978140022
Jumanji	27	1	978129692
Toy Story	28	3	978985309
Toy Story	34	5	978102970
Toy Story	36	5	978061285
Toy Story	38	5	978046225
Jumanji	40	5	978040739
Toy Story	44	5	978019369
Jumanji	44	4	1004410663
Toy Story	45	4	977990044
Grumpier old man	45	2	977989159
Toy Story	48	4	977975909
Jumanji	48	3	978064964
Toy Story	49	5	977972501
Toy Story	51	5	977947828
Jumanji	53	5	977981548
Toy Story	56	5	977938855
Toy Story	60	4	977931983
Jumanji	60	5	977931869
Jumanji	62	4	977904756
Grumpier old man	62	3	977904968
Toy Story	65	5	991368774
Toy Story	68	3	991376026
Toy Story	73	3	977867812
Toy Story	75	5	977851099
Jumanji	75	4	977851476
Toy Story	76	5	977847069
Toy Story	78	4	978570648
Toy Story	80	3	977786904
Jumanji	83	3	977721051
Toy Story	90	3	993872933
Toy Story	92	4	977646817
Jumanji	92	2	986189016
Toy Story	96	4	980563195
Toy Story	99	3	982873678
Toy Story	109	4	977519208
Jumanji	109	4	977516965
Toy Story	112	5	977508486
Toy Story	114	3	977506130
Jumanji	114	4	977506644
Toy Story	117	3	977498304
Toy Story	118	3	977501973
Toy Story	119	5	977513481
Jumanji	119	5	977513909
Toy Story	121	5	977459322
Toy Story	123	3	978046755
Jumanji	127	3	977437320
Toy Story	131	3	977453922
Toy Story	132	5	977427737
Toy Story	134	4	977845495
Toy Story	136	2	977530792
Jumanji	136	1	977424195
Grumpier old man	137	5	1000869657
Toy Story	139	4	977360234
Toy Story	142	4	977352868
Toy Story	146	5	977348756
Jumanji	146	3	977348665
Toy Story	147	4	977336480
Jumanji	147	4	977357720
Toy Story	148	5	977335193
Jumanji	148	5	979578366
Toy Story	149	3	978190837
Jumanji	149	3	977591827
Toy Story	150	4	978161692
Toy Story	151	2	992133251
Toy Story	152	4	977268921
