Taxa	Common Name	Scientific Name
Amphibian	Austin Blind Salamander	Eurycea waterlooensis
Amphibian	Atlantic Coast Slimy Salamander	Plethodon chlorobryonis
Amphibian	Apalachicola Dusky Salamander	Desmognathus apalachicolae
Amphibian	Amargosa Toad	Anaxyrus nelsoni
Amphibian	American Bullfrog	Lithobates catesbeianus
Amphibian	Allegheny Mountain Dusky Salamander	Desmognathus ochrophaeus
Amphibian	American Toad	Anaxyrus americanus
Amphibian	Arboreal Salamander	Aneides lugubris
Amphibian	Arroyo Toad	Anaxyrus californicus
Amphibian	Arizona Toad	Anaxyrus microscaphus
Amphibian	Arizona Treefrog	Hyla wrightorum
Amphibian	Barking Frog	Craugastor augusti
Amphibian	Barking Treefrog	Hyla gratiosa
Amphibian	Black-bellied Slender Salamander	Batrachoseps nigriventris
Amphibian	Berry Cave Salamander	Gyrinophilus gulolineatus
Amphibian	Baja California Treefrog	Pseudacris hypochondriaca
Amphibian	Black-bellied Salamander	Desmognathus quadramaculatus
Amphibian	Blue Ridge Gray-cheeked Salamander	Plethodon amplus
Amphibian	Big Levels Salamander	Plethodon sherando
Amphibian	Black Salamander	Aneides flavipunctatus
Amphibian	Blanco Blind Salamander	Eurycea robusta
Amphibian	Black Toad	Anaxyrus exsul
Amphibian	Black Mountain Salamander	Desmognathus welteri
Amphibian	Boreal Chorus Frog	Pseudacris maculata
Amphibian	Western Toad	Anaxyrus boreas
Amphibian	Blue Ridge Dusky Salamander	Desmognathus orestes
Amphibian	Brimley's Chorus Frog	Pseudacris brimleyi
Amphibian	Blue Ridge Two-lined Salamander	Eurycea wilderae
Amphibian	Black-spotted Newt	Notophthalmus meridionalis
Amphibian	Barton Springs Salamander	Eurycea sosorum
Amphibian	Barred Tiger Salamander	Ambystoma mavortium
Amphibian	Blue-spotted Salamander	Ambystoma laterale
Amphibian	Burrowing Toad	Rhinophrynus dorsalis
Amphibian	Bird-voiced Treefrog	Hyla avivoca
Amphibian	Black Warrior River Waterdog	Necturus alabamensis
Amphibian	Cane Toad	Rhinella marinus
Amphibian	Calfifornia Giant Salamander	Dicamptodon ensatus
Amphibian	Canadian Toad	Anaxyrus hemiophrys
Amphibian	California Treefrog	Pseudacris cadaverina
Amphibian	Comal Blind Salamander	Eurycea tridentifera
Amphibian	Cliff Chirping Frog	Eleutherodactylus marnockii
Amphibian	Cascade Caverns Salamander	Eurycea latitans
Amphibian	California Newt	Taricha torosa
Amphibian	Cope's Giant Salamander	Dicamptodon copei
Amphibian	Cope's Gray Treefrog	Hyla chrysoscelis
Amphibian	Chamberlain's Dwarf Salamander	Eurycea chamberlaini
